id,possible_element_type_id,specialty_id,view_number,required,first_in_episode,last_modified_user_id,last_modified_date,created_user_id,created_date
385,18,1,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
386,18,1,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
387,18,2,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
388,18,2,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
389,18,3,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
390,18,3,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
391,18,4,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
392,18,4,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
393,18,5,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
394,18,5,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
395,18,6,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
396,18,6,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
397,18,7,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
398,18,7,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
399,18,8,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
400,18,8,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
401,18,9,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
402,18,9,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
403,18,10,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
404,18,10,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
405,18,11,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
406,18,11,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
407,18,12,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
408,18,12,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
409,18,13,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
410,18,13,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
411,18,14,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
412,18,14,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
413,18,15,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
414,18,15,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
415,18,16,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
416,18,16,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
433,20,1,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
434,20,1,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
435,20,2,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
436,20,2,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
437,20,3,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
438,20,3,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
439,20,4,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
440,20,4,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
441,20,5,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
442,20,5,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
443,20,6,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
444,20,6,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
445,20,7,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
446,20,7,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
447,20,8,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
448,20,8,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
449,20,9,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
450,20,9,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
451,20,10,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
452,20,10,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
453,20,11,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
454,20,11,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
455,20,12,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
456,20,12,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
457,20,13,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
458,20,13,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
459,20,14,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
460,20,14,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
461,20,15,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
462,20,15,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
463,20,16,1,1,0,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
464,20,16,1,1,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
