id,firm_id,user_id,last_modified_user_id,last_modified_date,created_user_id,created_date
1,1,87,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
2,2,41,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
3,3,41,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
4,4,41,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
5,5,41,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
6,6,24,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
7,7,24,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
8,8,77,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
9,9,92,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
10,10,79,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
11,11,93,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
12,12,19,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
13,13,72,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
14,14,7,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
15,15,7,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
16,16,64,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
17,17,49,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
18,18,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
19,19,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
20,20,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
21,21,3,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
22,22,67,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
23,23,19,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
24,24,27,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
25,25,99,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
26,26,21,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
27,27,21,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
28,28,11,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
29,29,11,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
30,30,11,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
31,31,11,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
32,32,102,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
33,33,102,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
34,34,103,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
35,35,90,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
36,36,44,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
37,37,30,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
38,38,19,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
39,39,80,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
40,40,80,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
41,41,106,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
42,42,106,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
43,43,28,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
44,44,47,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
45,45,47,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
46,46,73,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
47,47,113,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
48,48,113,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
49,49,113,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
50,50,110,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
52,52,85,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
53,53,85,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
54,54,34,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
55,55,61,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
56,56,107,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
57,57,112,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
58,58,112,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
59,59,8,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
60,60,89,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
