id,sequence_id,date,start_time,end_time,comments,status,last_modified_user_id,last_modified_date,created_user_id,created_date,consultant,paediatric,anaesthetist,general_anaesthetic
1,1,2011-09-05,08:30:00,13:00:00,,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
2,1,2011-09-12,08:30:00,13:00:00,,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
3,1,2011-09-19,08:30:00,13:00:00,,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
4,1,2011-09-26,08:30:00,13:00:00,,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
5,1,2011-10-03,08:30:00,13:00:00,,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
6,1,2011-10-10,08:30:00,13:00:00,,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
7,1,2011-10-17,08:30:00,13:00:00,,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
8,1,2011-10-24,08:30:00,13:00:00,,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
9,1,2011-10-31,08:30:00,13:00:00,,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
10,1,2011-11-07,08:30:00,13:00:00,,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
11,1,2011-11-14,08:30:00,13:00:00,,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
12,1,2011-11-21,08:30:00,13:00:00,,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
13,1,2011-11-28,08:30:00,13:00:00,,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
14,1,2011-12-05,08:30:00,13:00:00,,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
15,1,2011-12-12,08:30:00,13:00:00,,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
16,1,2011-12-19,08:30:00,13:00:00,,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
17,1,2011-12-26,08:30:00,13:00:00,,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
18,1,2012-01-02,08:30:00,13:00:00,,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
19,1,2012-01-09,08:30:00,13:00:00,,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
20,1,2012-01-16,08:30:00,13:00:00,,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
21,1,2012-01-23,08:30:00,13:00:00,,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
22,1,2012-01-30,08:30:00,13:00:00,,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
23,1,2012-02-06,08:30:00,13:00:00,,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
24,1,2012-02-13,08:30:00,13:00:00,,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
25,1,2012-02-20,08:30:00,13:00:00,,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
26,1,2012-02-27,08:30:00,13:00:00,,0,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1,1,1,1
