id,name,section_type_id,last_modified_user_id,last_modified_date,created_user_id,created_date
1,History,2,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
2,PMH,2,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
3,POH,2,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
4,Medication,2,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
5,Allergies,2,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
6,"Anterior segment",2,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
7,"Posterior segment",2,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
8,Conclusion,2,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
9,Treatment,2,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
10,"Social history",2,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
11,HPC,2,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
12,FOH,2,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
13,Outcome,2,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
14,Timing,2,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
15,Severity,2,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
16,Onset,2,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
17,Duration,2,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
18,Site,2,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
19,Introduction,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
20,Findings,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
21,Diagnosis,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
22,Management,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
23,Drugs,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
24,Outcome,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
25,LetterOut,1,1,"2000-01-01 00:00:00",1,"2000-01-01 00:00:00"
