id,disorder_id,last_modified_user_id,last_modified_date,created_user_id,created_date
1,46635009,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
2,44054006,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
3,59621000,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
4,414545008,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
5,22298006,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
6,230690007,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
7,195967001,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
8,90688005,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
9,13645005,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
10,69896004,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
11,19346006,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
12,78675000,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
13,40930008,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
14,34486009,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
