id,name,last_modified_user_id,created_user_id,last_modified_date,created_date
1,"Capsule",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
2,"Cream",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
3,"Device",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
4,"Drop",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
5,"Eye Ointment",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
6,"Gas",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
7,"Gel",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
8,"Implant",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
9,"Infusion",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
10,"Inhalation",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
11,"Inhaler",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
12,"Injection",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
13,"Irrigation",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
14,"Lotion",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
15,"Lotion",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
16,"Lozenge",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
17,"Mouthwash",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
18,"Nebuliser Solution",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
19,"Ointment",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
20,"Oral Liquid",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
21,"Pack",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
22,"Pack",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
23,"Patch",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
24,"Pessary",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
25,"Powder",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
26,"Sachet",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
27,"Solution",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
28,"Sponge",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
29,"Spray",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
30,"Strip",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
31,"Suppository",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
32,"Tablet",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
33,"Tube",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
34,"Wafer",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
35,"Enema",1,1,"1900-01-01 00:00:00","1900-01-01 00:00:00"
