id,fully_specified_name,term,systemic,last_modified_user_id,last_modified_date,created_user_id,created_date
1482004,"Chalazion (disorder)",Chalazion,0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
1674008,"Juvenile epithelial corneal dystrophy (disorder)","Meesman's corneal dystrophy",0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
1763009,"Interstitial keratitis (disorder)","Interstitial keratitis",0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
1847009,"Endophthalmitis (disorder)",Endophthalmitis,0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
2055003,"Recurrent erosion of cornea (disorder)","Recurrent erosion of cornea",0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
3577000,"Retinal lattice degeneration (disorder)","Retinal lattice degeneration",0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
4210003,"Ocular hypertension (disorder)","Ocular hypertension",0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
4855003,"Diabetic retinopathy (disorder)","Diabetic retinopathy",0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
4927003,"Acute anterior uveitis (disorder)","Acute anterior uveitis",0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
5587004,"Corneal dystrophy (disorder)","Corneal dystrophy",0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
5888003,"Keratitis (disorder)",Keratitis,0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
9826008,"Conjunctivitis (disorder)",Conjunctivitis,0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
14748007,"Corneal ectasia (disorder)","Corneal ectasia",0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
16596007,"Esotropia (disorder)",Esotropia,0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
22440001,"Mooren's ulcer (disorder)","Mooren's ulcer",0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
24010005,"Aphakia (disorder)",Aphakia,0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
26098002,"Microcornea (disorder)",Microcornea,0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
27590007,"Intermittent esotropia (disorder)","Intermittent esotropia",0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
27971006,"Terrien's marginal degeneration of cornea (disorder)","Terrien's marginal degeneration of cornea",0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
29504002,"Posterior polymorphous corneal dystrophy (disorder)","Polymorphous corneal dystrophy",0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
29943008,"Herpes simplex dendritic keratitis (disorder)","Herpes simplex dendritic keratitis",0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
30041005,"Acute angle-closure glaucoma (disorder)","Acute angle-closure glaucoma",0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
30410001,"Paralytic ptosis (disorder)","Paralytic ptosis",0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
30523006,"Degenerative drusen (disorder)","Degenerative drusen",0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
31056006,"Orbital hemorrhage (disorder)","Orbital haemorrhage",0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
31341008,"Vitreous hemorrhage (disorder)","Vitreous haemorrhage",0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
33168009,"Entropion (disorder)",Entropion,0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
33647009,"Anatomical narrow angle glaucoma (disorder)","Chronic angle-closure glaucoma",0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
34250006,"Benign mucous membrane pemphigoid (disorder)","Benign mucous membrane pemphigoid",1,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
34361001,"Traumatic cataract (disorder)","Traumatic cataract",0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
34533008,"Posterior subcapsular polar cataract (disorder)","Posterior subcapsular polar cataract",0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
34711008,"Traction detachment of retina (disorder)","Traction detachment of retina",0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
38101003,"Hypermetropia (disorder)",Hypermetropia,0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
38583007,"Toxic cataract (disorder)","Toxic cataract",0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
38599001,"Serous retinal detachment (disorder)","Serous retinal detachment",0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
41446000,"Blepharitis (disorder)",Blepharitis,0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
42059000,"Retinal detachment (disorder)","Retinal detachment",0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
45283008,"Granular corneal dystrophy (disorder)","Granular corneal dystrophy",0,1,"0000-00-00 00:00:00",1,"0000-00-00 00:00:00"
